customer_id,email,full_name,signup_date,account_status,loyalty_points
CUST0001,customer1@example.com,Customer 1,2024-01-07,active,1521
CUST0002,customer2@example.com,Customer 2,2024-12-14,active,3142
CUST0003,customer3@example.com,Customer 3,2024-06-11,active,2852
CUST0004,customer4@example.com,Customer 4,2024-12-01,active,2890
CUST0005,customer5@example.com,Customer 5,2024-08-10,active,3474
CUST0006,customer6@example.com,Customer 6,2024-11-22,active,2689
CUST0007,customer7@example.com,Customer 7,2024-11-28,active,1889
CUST0008,customer8@example.com,Customer 8,2024-05-22,active,1941
CUST0009,customer9@example.com,Customer 9,2024-04-22,active,3647
CUST0010,customer10@example.com,Customer 10,2024-10-02,active,2207
CUST0011,customer11@example.com,Customer 11,2024-09-14,active,4522
CUST0012,customer12@example.com,Customer 12,2024-02-19,active,2800
CUST0013,customer13@example.com,Customer 13,2024-12-04,active,381
CUST0014,customer14@example.com,Customer 14,2024-02-22,active,2880
CUST0015,customer15@example.com,Customer 15,2024-04-05,active,201
CUST0016,customer16@example.com,Customer 16,2024-04-11,active,4616
CUST0017,customer17@example.com,Customer 17,2024-08-16,active,4468
CUST0018,customer18@example.com,Customer 18,2024-09-07,active,1486
CUST0019,customer19@example.com,Customer 19,2024-03-08,active,1099
CUST0020,customer20@example.com,Customer 20,2024-10-02,active,4263
CUST0021,customer21@example.com,Customer 21,2024-02-04,active,3620
CUST0022,customer22@example.com,Customer 22,2024-11-08,active,4061
CUST0023,customer23@example.com,Customer 23,2024-07-22,inactive,3598
CUST0024,customer24@example.com,Customer 24,2024-01-22,active,1408
CUST0025,customer25@example.com,Customer 25,2024-01-05,active,829
CUST0026,customer26@example.com,Customer 26,2024-11-11,active,1831
CUST0027,customer27@example.com,Customer 27,2024-08-25,active,3779
CUST0028,customer28@example.com,Customer 28,2024-09-24,active,1331
CUST0029,customer29@example.com,Customer 29,2024-06-12,active,1887
CUST0030,customer30@example.com,Customer 30,2024-03-07,active,2759
CUST0031,customer31@example.com,Customer 31,2024-05-19,active,3811
CUST0032,customer32@example.com,Customer 32,2024-08-24,active,311
CUST0033,customer33@example.com,Customer 33,2024-11-07,active,3823
CUST0034,customer34@example.com,Customer 34,2024-07-11,active,4780
CUST0035,customer35@example.com,Customer 35,2024-08-07,inactive,1155
CUST0036,customer36@example.com,Customer 36,2024-09-03,active,840
CUST0037,customer37@example.com,Customer 37,2024-10-04,active,2245
CUST0038,customer38@example.com,Customer 38,2024-02-28,active,2463
CUST0039,customer39@example.com,Customer 39,2024-09-22,active,2570
CUST0040,customer40@example.com,Customer 40,2024-12-05,active,4185
CUST0041,customer41@example.com,Customer 41,2024-09-12,active,2020
CUST0042,customer42@example.com,Customer 42,2024-11-28,active,4044
CUST0043,customer43@example.com,Customer 43,2024-03-16,active,827
CUST0044,customer44@example.com,Customer 44,2024-10-17,active,2652
CUST0045,customer45@example.com,Customer 45,2024-08-24,active,308
CUST0046,customer46@example.com,Customer 46,2024-01-09,active,4367
CUST0047,customer47@example.com,Customer 47,2024-12-15,active,1480
CUST0048,customer48@example.com,Customer 48,2024-06-25,active,242
CUST0049,customer49@example.com,Customer 49,2024-09-28,active,1849
CUST0050,customer50@example.com,Customer 50,2024-06-16,active,1631
