order_id,customer_id,order_date,total_amount,status,shipping_address
ORD00001,CUST0050,2024-12-05,906.7,cancelled,153 Main St
ORD00002,CUST0021,2024-05-05,548.64,delivered,571 Main St
ORD00003,CUST0018,2024-08-12,817.49,pending,482 Main St
ORD00004,CUST0024,2024-03-23,215.98,pending,888 Main St
ORD00005,CUST0024,2024-05-04,256.98,cancelled,16 Main St
ORD00006,CUST0043,2024-09-14,390.58,cancelled,278 Main St
ORD00007,CUST0022,2024-03-17,621.45,shipped,830 Main St
ORD00008,CUST0033,2024-02-13,776.27,shipped,655 Main St
ORD00009,CUST0042,2024-05-23,878.34,delivered,441 Main St
ORD00010,CUST0044,2024-02-22,537.46,shipped,807 Main St
ORD00011,CUST0019,2024-04-27,264.5,shipped,815 Main St
ORD00012,CUST0042,2024-10-12,378.58,pending,772 Main St
ORD00013,CUST0033,2024-06-07,447.34,delivered,419 Main St
ORD00014,CUST0031,2024-10-19,773.21,delivered,417 Main St
ORD00015,CUST0046,2024-12-27,485.85,delivered,838 Main St
ORD00016,CUST0029,2024-11-01,730.2,delivered,353 Main St
ORD00017,CUST0011,2024-10-16,915.68,pending,259 Main St
ORD00018,CUST0029,2024-04-01,287.15,pending,722 Main St
ORD00019,CUST0048,2024-08-22,758.59,pending,654 Main St
ORD00020,CUST0013,2024-08-07,909.15,delivered,361 Main St
ORD00021,CUST0032,2024-06-19,190.41,pending,102 Main St
ORD00022,CUST0013,2024-03-21,907.85,delivered,535 Main St
ORD00023,CUST0035,2024-04-19,488.75,shipped,430 Main St
ORD00024,CUST0006,2024-08-01,185.7,delivered,29 Main St
ORD00025,CUST0036,2024-06-13,710.01,delivered,316 Main St
ORD00026,CUST0043,2024-11-10,545.52,shipped,997 Main St
ORD00027,CUST0043,2024-10-02,611.77,delivered,248 Main St
ORD00028,CUST0049,2024-07-19,485.39,cancelled,39 Main St
ORD00029,CUST0024,2024-08-02,132.92,delivered,109 Main St
ORD00030,CUST0020,2024-03-13,912.76,cancelled,740 Main St
ORD00031,CUST0015,2024-02-06,649.69,delivered,16 Main St
ORD00032,CUST0037,2024-01-03,989.01,delivered,210 Main St
ORD00033,CUST0008,2024-07-06,465.33,cancelled,773 Main St
ORD00034,CUST0019,2024-11-16,650.36,delivered,953 Main St
ORD00035,CUST0044,2024-11-27,544.7,cancelled,531 Main St
ORD00036,CUST0033,2024-12-18,697.97,shipped,128 Main St
ORD00037,CUST0050,2024-04-27,511.89,shipped,325 Main St
ORD00038,CUST0016,2024-07-20,997.73,shipped,116 Main St
ORD00039,CUST0008,2024-03-17,402.79,pending,285 Main St
ORD00040,CUST0038,2024-05-23,776.72,delivered,75 Main St
ORD00041,CUST0016,2024-04-15,977.38,pending,928 Main St
ORD00042,CUST0005,2024-12-28,216.42,pending,610 Main St
ORD00043,CUST0035,2024-07-24,43.62,delivered,819 Main St
ORD00044,CUST0032,2024-03-04,841.1,shipped,243 Main St
ORD00045,CUST0025,2024-07-04,964.87,pending,224 Main St
ORD00046,CUST0043,2024-12-09,549.9,delivered,627 Main St
ORD00047,CUST0004,2024-06-08,219.38,delivered,732 Main St
ORD00048,CUST0026,2024-05-06,857.35,pending,542 Main St
ORD00049,CUST0007,2024-03-05,167.02,cancelled,186 Main St
ORD00050,CUST0039,2024-12-18,768.25,delivered,674 Main St
ORD00051,CUST0016,2024-12-01,876.55,delivered,435 Main St
ORD00052,CUST0032,2024-09-23,23.77,pending,455 Main St
ORD00053,CUST0050,2024-08-22,485.25,cancelled,469 Main St
ORD00054,CUST0002,2024-06-10,250.39,shipped,742 Main St
ORD00055,CUST0033,2024-11-12,623.62,shipped,281 Main St
ORD00056,CUST0042,2024-01-02,679.71,pending,182 Main St
ORD00057,CUST0038,2024-04-08,467.21,delivered,772 Main St
ORD00058,CUST0036,2024-04-07,616.37,delivered,429 Main St
ORD00059,CUST0027,2024-04-20,881.28,delivered,49 Main St
ORD00060,CUST0047,2024-02-02,18.73,delivered,367 Main St
ORD00061,CUST0007,2024-03-22,482.54,pending,245 Main St
ORD00062,CUST0023,2024-12-20,872.24,delivered,301 Main St
ORD00063,CUST0022,2024-10-28,397.21,delivered,918 Main St
ORD00064,CUST0041,2024-12-11,244.09,delivered,101 Main St
ORD00065,CUST0041,2024-07-23,286.17,shipped,691 Main St
ORD00066,CUST0018,2024-06-07,822.71,shipped,708 Main St
ORD00067,CUST0037,2024-06-10,810.15,pending,448 Main St
ORD00068,CUST0039,2024-11-25,58.97,pending,531 Main St
ORD00069,CUST0023,2024-02-12,448.76,cancelled,356 Main St
ORD00070,CUST0008,2024-09-11,512.1,pending,793 Main St
ORD00071,CUST0038,2024-09-27,138.65,cancelled,472 Main St
ORD00072,CUST0022,2024-07-14,215.77,cancelled,489 Main St
ORD00073,CUST0011,2024-01-03,266.63,cancelled,80 Main St
ORD00074,CUST0022,2024-07-18,701.66,shipped,459 Main St
ORD00075,CUST0029,2024-08-26,858.18,delivered,326 Main St
ORD00076,CUST0038,2024-12-12,626.42,cancelled,964 Main St
ORD00077,CUST0033,2024-10-28,203.35,shipped,177 Main St
ORD00078,CUST0027,2024-02-08,618.06,pending,661 Main St
ORD00079,CUST0049,2024-03-20,771.16,cancelled,344 Main St
ORD00080,CUST0025,2024-10-21,837.12,cancelled,165 Main St
ORD00081,CUST0045,2024-02-16,922.69,shipped,87 Main St
ORD00082,CUST0019,2024-08-17,661.67,cancelled,134 Main St
ORD00083,CUST0020,2024-02-10,285.59,pending,305 Main St
ORD00084,CUST0007,2024-08-08,576.72,cancelled,111 Main St
ORD00085,CUST0017,2024-03-21,715.23,shipped,437 Main St
ORD00086,CUST0041,2024-06-21,180.43,delivered,656 Main St
ORD00087,CUST0049,2024-01-27,744.28,cancelled,288 Main St
ORD00088,CUST0041,2024-09-14,214.54,pending,107 Main St
ORD00089,CUST0016,2024-07-06,959.76,shipped,103 Main St
ORD00090,CUST0010,2024-10-27,126.29,cancelled,23 Main St
ORD00091,CUST0003,2024-03-10,31.84,pending,113 Main St
ORD00092,CUST0025,2024-10-18,842.19,delivered,433 Main St
ORD00093,CUST0029,2024-05-08,315.68,cancelled,657 Main St
